テキスト,フォントサイズ
人類は,32
自らが生み出したアンドロイドによって,32
滅びの淵へと追い込まれた,32
\n,32
抗うために,32
最後に立ち上げられた計画,32
\n,32
Project:NeaR,40
\n,32
目的はただひとつ,32
すべてのアンドロイドの破壊,40
\n,32
だが,32
計画が完成する前に,32
人類は滅亡した,40
\n,32
それでも,32
計画は停止しなかった,32
\n,32
人類が消えた世界で,32
Project:NeaRは,32
ひとりの存在を生み出す,32
\n,32
対アンドロイド用人型アンドロイド,32
NeaR（ニア）,40
\n,32
君は,32
命令に従い,32
任務を遂行してきた,32
\n,32
迷うことなく,32
疑うことなく,32
\n,32
それは,32
自由意志ではなく,32
あらかじめ組み込まれた行動,32
\n,32
戦う理由も,32
進む理由も,32
すべて,32
プログラムされていた,32
\n,32
そして,32
君は辿り着いた,32
\n,32
すべてのアンドロイドの心臓,32
すべての中核,32
\n,32
世界を動かし続けていた存在,32
\n,32
それを,32
君は破壊した,32
\n,32
その瞬間,32
この世界に残っていた,32
最後のアンドロイドが消えた,32
\n,32
君自身を含めて,32
\n,32
人類は,32
もういない,32
\n,32
守るべき存在は,32
最初から,32
存在しなかった,32
\n,32
君の戦いは,32
意味のないものだったのかもしれない,32
\n,32
それでも,32
確かに,32
果たされたものがある,32
\n,32
人類が最後に遺した願い,32
\n,32
「自分たちの過ちに終わりを与えること」,40
\n,32
その願いは,32
君によって,32
遂行された,32
\n,32
NeaR――,32
人間にも,32
アンドロイドにも,32
最も近い存在,32
\n,32
人類の意思を引き継ぎ,32
感情を持ち,32
迷いながら戦った存在,32
\n,32
君は,32
人類ではない,32
\n,32
だが,32
人類の最後の行動そのものだった,32
\n,32
すべてが終わった世界で,32
静寂だけが残る,32
\n,32
Project:NeaR,40
\n,32
それは,32
人類の最後のあがきであり,32
最後の成功だった,32
